2014/2/28,Pelicans,,Jrue Holiday,tibia/,surgery/fracture/
2014/3/4,Celtics,,Gerald Wallace,ankle/knee/,surgery/torn/
2014/3/5,Suns,,Leandro Barbosa,hand/,fracture/
2014/3/10,Cavaliers,,Anthony Bennett,knee/,strained/
2014/3/17,Cavaliers,,Kyrie Irving,bicep/,strained/
2014/3/20,Kings,,Carl Landry,knee/,surgery/torn/
2014/3/22,Bucks,,Nate Wolters,hand/,fracture/
2014/3/22,Lakers,,Xavier Henry,wrist/ligament/,torn/
2014/4/7,Lakers,,Kent Bazemore,foot/,injury/
2014/4/8,Pelicans,,Ryan Anderson,hernia/neck/,surgery/herniated disc/
2014/4/11,Lakers,,Xavier Henry,wrist/knee/,surgery/
2014/4/15,Nuggets,,Danilo Gallinari,knee/,torn/
2014/4/16,Lakers,,Kent Bazemore,foot/tendon/,surgery/torn/
2014/4/30,Bobcats,,Josh McRoberts,toe/,surgery/
2014/5/2,Bulls,,Joakim Noah,knee/,surgery/
2014/5/6,76ers,,Michael Carter-Williams,shoulder/,surgery/torn/
2014/5/13,Cavaliers,,Anthony Bennett,tonsils/,surgery/
2014/5/15,Pelicans,,Tyreke Evans,knee/,surgery/scar/
2014/5/16,Thunder,,Serge Ibaka,calf/,injury/
2014/5/24,Bobcats,,Gerald Henderson,wrist/,surgery/scar/
2014/5/27,Nets,,Deron Williams,ankle/,surgery/
2014/6/28,Wizards,,Martell Webster,back/hernia/,surgery/herniated disc/
2014/7/1,Spurs,,Patty Mills,shoulder/,surgery/injury/
2014/7/2,Spurs,,Manu Ginobili,leg/,fracture/
2014/7/5,76ers,,Pierre Jackson,Achilles/tendon/,injury/
2014/7/14,Thunder,,Perry Jones III,knee/,surgery/
2014/7/22,Blazers,,Thomas Robinson,thumb/ligament/,surgery/torn/
2014/8/1,Pacers,,Paul George,tibia/fibula/leg/,surgery/fracture/
2014/8/11,Nets,,Markel Brown,hand/,fracture/
2014/8/15,Suns,,Isaiah Thomas,wrist/,surgery/
2014/8/15,Warriors,,Shaun Livingston,toe/,surgery/
2014/9/2,Hornets,,Noah Vonleh,hernia/,surgery/
2014/9/26,Celtics,,Rajon Rondo,finger/,surgery/fracture/
2014/9/27,Pelicans,,Tyreke Evans,hamstring/,strained/
